text,translations
ケーキ,cake
ピザ,pizza
それ,that (one); it; that
これ,this (one); these; this
ラーメン,ramen
おいしい,good; delicious; tasty
は,is; with; regarding; for; tooth; at; when; on; about; as for; of; during; in; by; teeth; was; are
カレー,curry
またあした,see you tomorrow
じゃあね,bye
さん,Mr.; Miss; Mrs.; 3; three; Ms.; Mt.
こんばんは,tonight; good evening; this evening
なおみ,Naomi
はな,flowers; flower; Hana; nose
どうぞよろしく,nice to meet you
こんにちは,hello; hi
けん,Ken; ticket
がくせい,student; students
ひと,person; people
かっこいい,cool; good-looking; stylish; handsome; attractive
べんごし,lawyer; lawyers
やさしい,kind; easy; nice
せんせい,teacher; Professor; teachers; Doctor
いしゃ,doctor; doctors
です,there is; it's; I'm; she's; he's; we're; is
と,and; that; door; with; for; or; as; when; if; nor; to; doors; whenever; from; city
みず,water
ごはん,rice; meal; meals
すし,sushi
ください,please
おちゃ,green teas; green tea; tea; teas
