prompt,timestamp,skillId,challengeIdentifier,courseId,inInboxSinceTimestamp,inboxResolvedCount,learningResolvedCount,levelIndex,maxAIAnnotatedSolution,maxAIChallengePrompt,maxAICorrectResponse,maxAIUserResponse,mispronouncedWords,solutionTranslation,targetLanguage,userId
"This new t-shirt is cute, isn't it?",1769350170808,,"{""generatorId"": ""647a451aa8bcda91117a9169e1ceaaec"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1769350170808,0,0,,,,,,,,ja,1519668220
まいにちイギリスのドラマを見ます。,1769349244081,fc0dca985cc9ac0cbb149f0a1044cae2,"{""generatorId"": ""8ad7126cce8c97c0b80721f457dd1605"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769349244081,0,0,1,,,,,,,en,1519668220
いもうともかんこくにすんでいます。,1769347825456,fc0dca985cc9ac0cbb149f0a1044cae2,"{""generatorId"": ""203bb6d46268b614d61aec4732fa46d5"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769347825456,0,0,1,,,,,,,en,1519668220
らいしゅうともだちとでかけますか。,1769272873579,8a265e63459ee16a0704ca81897b2b98,"{""generatorId"": ""8d5f4a8e349e9e79cb0237a93636b08b"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769272873579,0,0,1,,,,,,,en,1519668220
まいばん十時半ごろねます。,1769272619045,8a265e63459ee16a0704ca81897b2b98,"{""generatorId"": ""d98577dc4ce31752a4a7eb2b97b65337"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769272619045,0,0,1,,,,,,,en,1519668220
あした新しいスマホを買います。,1769272084232,8a265e63459ee16a0704ca81897b2b98,"{""generatorId"": ""f3ab94cd769f49c154ac8b3c8c1b1538"", ""specificType"": ""listen_tap""}",DUOLINGO_JA_EN,1769272084232,0,0,1,,,,,,I'm going to buy a new smartphone tomorrow.,,1519668220
I often read the newspaper alone.,1769271576730,8a265e63459ee16a0704ca81897b2b98,"{""generatorId"": ""5d2f9ce92794ab90c782aed7f793de7d"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1769271576730,0,0,1,,,,,,,ja,1519668220
あした新しいまんがを買います。,1769267773506,8a265e63459ee16a0704ca81897b2b98,"{""generatorId"": ""19e0b62c6c1a4284785775f192ed4dda"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1769267773506,0,0,0,,,,,,,en,1519668220
食べます,1769266557541,8a265e63459ee16a0704ca81897b2b98,"{""generatorId"": ""b80246be4321f344fe0e71e24a9b4189"", ""specificType"": ""character_intro""}",DUOLINGO_JA_EN,1769266557541,0,0,0,,,,,,,,1519668220
あ、すみません、wifiはありません。,1769187911311,694ce2bf003d440d69db8800819af93e,"{""generatorId"": ""589bfaff62274d51715c3e7c68cd2462"", ""specificType"": ""listen_tap""}",DUOLINGO_JA_EN,1769187911311,0,0,0,,,,,,"Oh, sorry, we don't have wifi.",,1519668220
I don't really like blue shoes...,1769185730114,694ce2bf003d440d69db8800819af93e,"{""generatorId"": ""f417c87bb21697e3f0407371d9e294dd"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1769185730114,0,0,1,,,,,,,ja,1519668220
It's about one o'clock now.,1768926925828,eb9eafa45d8c1ed9c8f2470976f6e5ed,"{""generatorId"": ""d78a0dcce89782932c97eb90175e8344"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1768926925828,0,0,1,,,,,,,ja,1519668220
my younger sister,1768926925827,eb9eafa45d8c1ed9c8f2470976f6e5ed,"{""generatorId"": ""5f4ceb18445529ebce159056d571283f"", ""specificType"": ""assist""}",DUOLINGO_JA_EN,1768926925827,0,0,1,,,,,,,,1519668220
つまとえいがを見ます。,1768925815814,eb9eafa45d8c1ed9c8f2470976f6e5ed,"{""generatorId"": ""1ce3ce6cbb241d25de76e7a0dfff05f4"", ""specificType"": ""listen_tap""}",DUOLINGO_JA_EN,1768925815814,0,0,1,,,,,,I watch movies with my wife.,,1519668220
土曜日はゲームをします。,1768832953302,eb9eafa45d8c1ed9c8f2470976f6e5ed,"{""generatorId"": ""704549f5e02f0692f3b34b41014f101a"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1768832953302,0,0,0,,,,,,,en,1519668220
ニューヨークはちいさいとしじゃないです。,1768705954015,,"{""generatorId"": ""b52e18207e556a066228b1d0515f1d63"", ""specificType"": ""listen_tap""}",DUOLINGO_JA_EN,1768705954015,0,0,,,,,,,New York isn't a small city.,,1519668220
はじめまして、なおみです。,1768705954014,,"{""generatorId"": ""6f14c16f366fc884b0b3e55a40454911"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1768705954014,0,0,,,,,,,,en,1519668220
That college student eats breakfast at two o'clock.,1768357263481,edfd0f74889e0d17faa797d6c67b3f13,"{""generatorId"": ""2e90c302d5f4b92905e3616d1581253e"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1768357263481,0,0,1,,,,,,,ja,1519668220
じゃあ、こうちゃをひとつください。,1768357084111,edfd0f74889e0d17faa797d6c67b3f13,"{""generatorId"": ""12ad59e14f0b05a45aff257f36c6ae87"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1768357084111,0,0,1,,,,,,,en,1519668220
"This restaurant is lively, isn't it?",1768314301839,edfd0f74889e0d17faa797d6c67b3f13,"{""generatorId"": ""cf2d289c484a07f4b7d003073fae7018"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1768314301839,0,0,1,,,,,,,ja,1519668220
Naomi watches the news at eight thirty.,1768312349250,edfd0f74889e0d17faa797d6c67b3f13,"{""generatorId"": ""471ad129303fd50c031a811ab19e8f20"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1768312349250,0,0,0,,,,,,,ja,1519668220
This isn't basketball.,1768312349249,edfd0f74889e0d17faa797d6c67b3f13,"{""generatorId"": ""e29cf66a20f8198b53dc0b5212ccb261"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1768312349249,0,0,0,,,,,,,ja,1519668220
べんとうをひとつください。,1768219896357,edfd0f74889e0d17faa797d6c67b3f13,"{""generatorId"": ""80cf477a1b27973646b7db0e46f418de"", ""specificType"": ""listen_tap""}",DUOLINGO_JA_EN,1768219896357,0,0,0,,,,,,"One boxed lunch, please.",,1519668220
あのかわいいドレスは二千えんです。,1768121923313,,"{""generatorId"": ""8c86e3c49c43d0d37a23bbde866aa9c0"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1768121923313,0,0,,,,,,,,en,1519668220
I want cute shoes.,1768063862522,,"{""generatorId"": ""7f4c03bc1a0947aade7dfb942c296fc1"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1768063862522,0,0,,,,,,,,ja,1519668220
The subway isn't there.,1768057451192,,"{""generatorId"": ""81071a4c78c15c1afae75d26e8e3292c"", ""specificType"": ""reverse_tap""}",DUOLINGO_JA_EN,1768057451192,0,0,,,,,,,,ja,1519668220
このTシャツは五百えんですか。,1768050515302,e1419d98bb86f0aebee5cba9a0511504,"{""generatorId"": ""fb0edb29fc5e69cfd88833d97e2b71d2"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1768050515302,0,0,1,,,,,,,en,1519668220
あのあかいかさがほしいです。,1767973405060,e1419d98bb86f0aebee5cba9a0511504,"{""generatorId"": ""26f957557c85836625fc60571bb58015"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1767973405060,0,0,0,,,,,,,en,1519668220
この新しいTシャツはかわいいですね。,1767971526615,e1419d98bb86f0aebee5cba9a0511504,"{""generatorId"": ""20a82de0cac2e4096b21b0c5facf791f"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1767971526615,0,0,0,,,,,,,en,1519668220
このかばんはかわいいですね。,1767971526614,e1419d98bb86f0aebee5cba9a0511504,"{""generatorId"": ""179289d75503f3f8e245d7ad3061fe89"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1767971526614,0,0,0,,,,,,,en,1519668220
,1767969231686,,"{""generatorId"": ""e5d005ecd7ef72d1ce1c432b08aff14c"", ""specificType"": ""select_pronunciation""}",DUOLINGO_JA_EN,1767969231686,0,0,,,,,,,,,1519668220
中山さんは十一時にサンドイッチをたべます。,1767865184938,12a551a32461c2996e946ac6361c98bc,"{""generatorId"": ""8930489b1e8ec5b4b4bdfbc129f1ca0d"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1767865184938,0,0,1,,,,,,,en,1519668220
はなさんはよくパンをたべます。,1767864039050,12a551a32461c2996e946ac6361c98bc,"{""generatorId"": ""821d89d91f8e2b03f9f46334a73f064e"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1767864039050,0,0,1,,,,,,,en,1519668220
dinner,1767852022325,12a551a32461c2996e946ac6361c98bc,"{""generatorId"": ""b6b90f2874e84407fb172ad902dd869a"", ""specificType"": ""name_example""}",DUOLINGO_JA_EN,1767852022325,0,0,0,,,,,,,,1519668220
十二,1767804532668,12a551a32461c2996e946ac6361c98bc,"{""generatorId"": ""819e0c9c6939f77b5e170372c65f14b4"", ""specificType"": ""character_intro""}",DUOLINGO_JA_EN,1767804532668,0,0,0,,,,,,,,1519668220
まいにちパンをたべます。,1767775974154,12a551a32461c2996e946ac6361c98bc,"{""generatorId"": ""2404ad52216033cf5ae571ff4fe264c4"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1767775974154,0,0,0,,,,,,,en,1519668220
たなか,1767708264450,,"{""generatorId"": ""147f7d1b5c85c1a6316044903cd94ec6"", ""specificType"": ""character_select""}",DUOLINGO_JA_EN,1767708264450,0,0,,,,,,,,,1519668220
やまぐちなおみさんはおもしろいです。,1767708057224,,"{""generatorId"": ""79b20bbbf953bb19dc9255ce3b44ecab"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1767708057224,0,0,,,,,,,,en,1519668220
なかやまはなさんとたなかけんさん,1767630205336,,"{""generatorId"": ""151ac51a5269f2430246d458cae98a3b"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1767630205336,0,0,,,,,,,,en,1519668220
よくジャズをききます。,1767365281483,0007a3e869171e2f135fa2390287b2df,"{""generatorId"": ""ab7e314e435e01e082c43262d10ffc2c"", ""specificType"": ""tap""}",DUOLINGO_JA_EN,1767365281483,0,0,1,,,,,,,en,1519668220
